Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.1161,-0.0522,0.9843,-2.3800,277.2700,7.1400
-0.1937,-0.0991,0.9653,-8.5400,275.8000,1.3300
-0.1635,-0.1322,0.8711,-2.7300,276.6400,-3.2200
-0.2220,-0.2172,0.7603,12.6700,279.1600,-4.9700
-0.2625,0.0122,0.7871,17.2200,282.3100,-3.2200
-0.3392,-0.1161,0.9238,23.4500,280.6300,-3.5000
-0.4138,-0.1396,0.9550,26.2500,269.5000,-7.7000
-0.5661,-0.1557,0.9999,9.9400,256.0600,-17.7800
-0.6671,-0.1215,0.9780,-3.2200,239.4700,-21.7000
-0.6271,-0.0517,0.9384,-17.0800,226.5200,-25.2000
-0.6422,-0.0039,0.9399,-15.4700,207.9700,-27.3000
-0.6461,-0.0107,0.9335,-3.9900,193.2700,-29.2600
-0.6525,0.0346,0.9536,7.9100,180.1800,-28.9800
-0.6808,0.0551,0.9692,19.1800,170.9400,-26.7400
-0.6974,-0.0078,0.9209,26.1100,157.0800,-27.0900
-0.7198,-0.0542,0.8677,16.4500,144.5500,-31.2200
-0.7535,-0.0571,0.8433,2.5900,126.3500,-53.2700
-0.7774,-0.0200,0.8433,-15.4700,92.1900,-39.5500
-0.7862,0.0698,0.8740,-21.4200,85.5400,-38.0100
-0.7691,0.0932,0.9004,-18.4800,57.9600,-35.0700
-0.7852,0.1313,0.9213,-11.6900,37.7300,-30.1000
-0.7286,0.1449,0.8525,-6.1600,15.6800,-24.1500
-0.6974,0.1513,0.8501,-0.6300,-1.6800,-14.9100
-0.6930,0.0976,0.8413,1.6100,-24.1500,-9.5900
-0.7042,-0.0181,0.8213,-0.5600,-40.2500,-8.0500
-0.7159,-0.0410,0.7852,-9.1700,-57.8900,-9.1700
-0.7071,-0.0952,0.7925,-24.9200,-70.1400,-13.5800
-0.7139,-0.0844,0.8481,-32.8300,-86.1700,-15.4700
-0.6964,-0.0376,0.8950,-30.8700,-100.5200,-15.2600
-0.6822,-0.0073,0.9379,-22.4000,-120.8900,-13.0200
-0.6422,-0.0342,0.9243,-10.7100,-135.9400,-8.8900
-0.6066,-0.0473,0.8882,-0.2100,-152.6000,-5.2500
-0.6051,-0.0727,0.8930,7.2800,-164.7800,-2.8000
-0.5929,-0.1181,0.8862,6.3000,-178.9200,-2.8700
-0.5978,-0.1405,0.8652,3.2200,-189.7700,-4.9000
-0.4885,-0.0405,0.7993,3.5700,-197.4000,-0.2100
-0.4133,-0.0142,0.7984,2.5200,-200.4800,3.8500
-0.3636,-0.0508,0.7642,1.8200,-200.2700,6.4400
